"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
3838052,"       (2019 BF4)",,,59800,2.323,0.5480,4.67,146.84,27.18,345.53,22.67,,,,,1.050,0.0674
3838056,"       (2019 BG4)",,,58511,1.493,0.2768,15.61,128.22,15.67,350.91,25.80,,,,,1.080,0.101
3838057,"       (2019 BH4)",,,58511,2.442,0.9165,20.90,143.55,199.49,15.68,21.10,,,,,0.204,0.172
3838053,"       (2019 BK4)",,,58512,1.544,0.4031,6.24,317.04,221.10,339.13,27.20,,,,,0.921,0.00251
3838055,"       (2019 BL4)",,,59800,2.131,0.5757,3.96,125.05,43.92,38.54,27.80,,,,,0.904,0.00583
3838066,"       (2019 BP4)",,,59800,3.07,0.5799,24.43,49.04,60.54,244.75,19.30,,,,,1.290,0.446
3838065,"       (2019 BQ4)",,,58512,2.378,0.8356,50.24,129.57,117.56,347.44,20.70,,,,,0.391,0.0955
3838064,"       (2019 BS4)",,,59800,1.034,0.4131,20.86,131.91,234.71,202.75,22.90,,,,,0.607,0.0849
3838070,"       (2019 BV4)",,,58514,2.028,0.6850,11.45,108.56,288.40,20.40,23.80,,,,,0.639,0.0337
3838073,"       (2019 BY4)",,,58517,2.246,0.6837,1.56,241.56,169.63,15.52,24.10,,,,,0.710,0.0234
3838075,"       (2019 BZ4)",,,59800,1.59,0.3706,1.82,109.47,354.36,285.11,26.25,,,,,1.001,0.0191
3838077,"       (2019 BA5)",,,59800,2.059,0.5215,7.21,138.72,22.80,60.07,25.20,,,,,0.985,0.0191
3838074,"       (2019 BB5)",,,59800,0.8363,0.2755,1.54,334.70,308.74,83.16,26.70,,,,,0.606,0.00587
3838079,"       (2019 BC5)",,,58515,1.217,0.3387,27.67,132.37,77.20,317.95,25.40,,,,,0.805,0.0137
3838076,"       (2019 BD5)",,,59800,1.704,0.4888,5.66,311.32,127.58,226.21,26.70,,,,,0.871,0.0051
3838078,"       (2019 BE5)",,,59800,0.61,0.6592,1.43,308.95,9.85,290.07,25.10,,,,0.0033276,0.208,7.84e-05
3838082,"       (2019 BF5)",,,59800,1.68,0.7395,24.52,312.25,68.73,243.82,21.50,,,,,0.438,0.0227
3838084,"       (2019 BH5)",,,59800,1.401,0.2790,4.59,313.36,154.96,58.19,25.10,,,,,1.010,0.0372
